completed_steps,train_loss,validation_loss,learning_rate,grad_norm
7560,1.6981566324830055,,6.924265642696717e-05,0.3493058525642347
7580,1.6525702625513077,,6.863445317975665e-05,0.35373882511325727
7600,1.7053057923913002,1.718285471200943,6.803021195126907e-05,0.35379490462182006
7620,1.6966958492994308,,6.74299575845645e-05,0.351262803089731
7640,1.7296879962086678,,6.68337147587851e-05,0.35405014860206335
7660,1.697377786040306,,6.624150798814086e-05,0.3535013973777025
7680,1.7143279314041138,,6.565336162090125e-05,0.35224747652735633
7700,1.6882897764444351,,6.506929983839457e-05,0.34737755424995737
7720,1.6750522181391716,,6.448934665401358e-05,0.36381737556188687
7740,1.6809882670640945,,6.3913525912228e-05,0.3563315750730187
7760,1.6945846006274223,,6.334186128760457e-05,0.35475985528065646
7780,1.6995156034827232,,6.277437628383328e-05,0.35490309514829765
7800,1.7032684087753296,1.6967272341251374,6.221109423276131e-05,0.39009507493166634
7820,1.690473273396492,,6.16520382934337e-05,0.34570256708792846
7840,1.670196793973446,,6.109723145114098e-05,0.3599449279751748
7860,1.7102710753679276,,6.0546696516474447e-05,0.3833973790036855
7880,1.7035572081804276,,6.000045612438802e-05,0.3722521888917363
7900,1.682894267141819,,5.9458532733267906e-05,0.3646054914032807
7920,1.6924669072031975,,5.8920948624008954e-05,0.36105434265265146
7940,1.6877002194523811,,5.8387725899098814e-05,0.35133809863371945
7960,1.7212511226534843,,5.7858886481709146e-05,0.36042616488150125
7980,1.7421059533953667,,5.7334452114794066e-05,0.35466430362537604
8000,1.6662256941199303,1.6866220653057098,5.681444436019657e-05,0.3633098615188358
8020,1.69506324082613,,5.629888459776163e-05,0.36133649813744995
8040,1.6973328217864037,,5.578779402445747e-05,0.35671941208302194
8060,1.6892798319458961,,5.5281193653504e-05,0.36516726661339266
8080,1.7005383521318436,,5.4779104313508655e-05,0.3589324931775499
8100,1.714376538991928,,5.4281546647610395e-05,0.35800797708910065
8120,1.7059184163808823,,5.378854111263063e-05,0.3646881513464364
